Event_Id,Event_Name,Description,Category,City,Price,Rating,Pelaksanaan,Regist
1,Knit Hats ,"If you’re good with needles, knit or crochet hats for infants in local hospitals, especially those in the NICU.",Pet_and_Animal_Service,PURBALINGGA  ,672000,1,2/6/2023,5/13/2023
2,Promote the Cause ,"Use your social media accounts to raise awareness for any of your favorite causes via hashtags, testimonials or videos.",Healthcare,BANJARNEGARA  ,808000,5,8/22/2023,2/8/2023
3,Shop for Good ,"When you’re filling your Amazon cart, use Amazon Smile. The online retailer’s philanthropy arm makes a donation to the charity you designate for every purchase you make.",Youth_Development,KEBUMEN  ,205000,2,8/13/2023,7/24/2023
4,Go Green ,Write emails to lawmakers advocating access to solar energy through a Vote Solar email campaign. This is a good one to get your children involved in to teach them about civic responsibility.,Youth_Development,PURWOREJO  ,524000,2,5/27/2023,7/5/2023
5,Get Crafty ,"Make something for children in need, the troops, seniors and those with terminal illnesses by connecting with opportunities through the online site Giving Artfully. Projects include making knit blankets, cards, clothes and more.",Healthcare,WONOSOBO  ,271000,3,10/7/2023,6/20/2023
6,Put Together Hygiene Kits ,"To help girls and women across the world without access to personal products, you can create and donate feminine hygiene kits through an organization like Days for Girls.",Pet_and_Animal_Service,MAGELANG  ,673000,2,12/22/2022,2/12/2022
7,Get Grammatic ,"Put your grammar snobbiness to good use by proofreading for Distributed Proofreaders, an organization that digitizes public domain books.",Healthcare,BOYOLALI  ,354000,2,10/31/2022,11/10/2022
8,Make Blessing Bags ,Create care packages of snacks and bottled water to hand out to homeless people you may encounter while driving.,Youth_Development,KLATEN  ,773000,1,8/30/2023,10/8/2023
9,Save Energy ,Raise awareness for conservation by washing your clothes with cold water and drying them on a clothesline. Learn more at Project Laundry List.,Pet_and_Animal_Service,SUKOHARJO  ,400000,2,11/9/2023,8/22/2023
10,Keep Kids Warm ," Knit a blanket, mittens, scarfs and more for children in need through Knit for Kids. When you’re done, just mail your item to the distribution center.",Healthcare,WONOGIRI  ,107000,2,1/26/2023,6/1/2023
11,Become an “E,Mentor”  Your mentorship could help an at,Youth_Development,KARANGANYAR  ,775000,2,4/25/2023,5/4/2023
12,Create a Craft Kit ,"Put activity kits together for sick children at St. Jude’s Hospital or your local pediatric hospital. Kits can be as simple as colored pencils, crayons and a coloring book for a little waiting room fun.",Pet_and_Animal_Service,SRAGEN  ,404000,3,7/17/2023,6/27/2023
13,Take a Quiz ," Answer questions about world hunger, and World Hunger Notes will make a donation to assist hungry people.",Healthcare,GROBOGAN  ,179000,4,8/11/2022,10/19/2022
