user_id;Rating;plan_trip.Id
74;3,1;1
165;3,2;1
343;4,1;1
391;4,5;1
1245;4,9;1
1309;4,9;1
1503;3,3;1
1718;4,1;1
1947;5;1
2174;4,6;1
2269;4,8;1
3423;3,5;1
3726;4,5;1
4345;3,4;1
4424;4,5;1
4430;3,7;1
4643;4,3;1
68;4;2
116;3,5;2
303;3,9;2
313;4,9;2
336;4,3;2
356;3,1;2
418;3,1;2
552;5;2
584;4,1;2
654;3,7;2
725;3;2
758;3,8;2
761;4,6;2
784;3,6;2
922;4,6;2
960;3,4;2
969;3,5;2
1059;3,5;2
1086;4,2;2
1110;4,6;2
1123;3,8;2
1257;5;2
1482;3,2;2
1605;3,5;2
1698;3,6;2
1723;4,9;2
1789;4,8;2
1834;3,9;2
1852;4,1;2
1953;4,2;2
1990;4,3;2
2018;3,4;2
2088;4,9;2
2252;4,7;2
2466;4,3;2
2473;4,1;2
2479;3,5;2
2511;3,4;2
2566;4,4;2
2587;3,2;2
2668;3,5;2
2718;3;2
2725;4,5;2
2754;4,5;2
2759;4,5;2
2809;3,9;2
2870;4;2
3179;3,2;2
3198;3,1;2
3229;3,2;2
3274;4,9;2
3386;3,3;2
3410;3,2;2
3467;3,7;2
3497;3,5;2
3578;3,7;2
3820;4,2;2
3885;3;2
3925;4,2;2
4019;4,4;2
4021;3,4;2
4058;4,8;2
4072;4;2
4134;3,8;2
4392;4;2
4447;4,7;2
4485;4,2;2
4507;4,1;2
4653;4,4;2
4672;3;2
4729;4,8;2
4756;3,9;2
4766;4;2
4923;3;2
4992;4,7;2
4993;3,8;2
43;3,1;3
438;4;3
821;3,3;3
840;4,5;3
942;3,5;3
1042;4,9;3
1047;4;3
1258;4,5;3
1639;3,6;3
1739;4,8;3
1927;4,1;3
1933;3,2;3
2438;3,9;3
2571;4,4;3
2948;3,5;3
3197;3,5;3
3208;3,6;3
3363;4,3;3
3672;3,6;3
3944;3,8;3
3982;4,1;3
4029;4,1;3
4230;3,5;3
4454;3,7;3
4646;3,2;3
4808;3,4;3
170;4,7;4
248;3,1;4
267;4,9;4
292;4,1;4
304;3,3;4
1091;4,5;4
1110;4,9;4
1131;3,6;4
1156;3,7;4
1196;3,5;4
1427;3;4
1632;3,4;4
1642;4,4;4
1646;3,6;4
1726;4,7;4
1845;4;4
1927;4,9;4
1932;4,9;4
2141;3,5;4
2144;3,3;4
2157;3,8;4
2340;3,3;4
2418;4,1;4
2460;4,8;4
2591;3,5;4
2622;4,8;4
2926;3,9;4
2996;4,4;4
3008;4,4;4
3015;3,4;4
3375;4,2;4
3721;4,1;4
4016;3,2;4
4149;3;4
4305;3;4
4551;3,8;4
4645;4,3;4
4820;3,3;4
4961;4,2;4
81;4,5;5
148;4;5
446;3,1;5
496;3,7;5
