user_id;Name;;Category1;;Place;City
0;takeyra;;History;;Pantai Marina;Semarang
1;anjelita;;History;;Kampoeng Kopi Banaran;Semarang
2;unda;;Culinary;;Taman Pelangi Jogja;Jogja
3;tonie;;Tourist Attraction;;Alun-alun Utara Keraton Yogyakarta;Jogja
4;elrico;;Culture;;Pantai Sundak;Jogja
5;elleass;;Culture;;Benteng Pendem;Semarang
6;tishena;;Culture;;Hutan Wisata Tinjomoyo Semarang;Semarang
7;vann;;History;;Galaxy Waterpark Jogja;Jogja
8;beti;;Culinary;;Tebing Breksi;Jogja
9;fernanda;;History;;Candi Gedong Songo;Semarang
10;isacc;;Culture;;Tebing Breksi;Jogja
11;weslyn;;Culinary;;Candi Ijo;Jogja
12;dionigia;;Tourist Attraction;;Bentara Budaya Yogyakarta (BBY);Jogja
13;rafi;;Culture;;Wisata Eling Bening;Semarang
14;zaydon;;Culinary;;Sindu Kusuma Edupark (SKE);Jogja
15;tylan;;Culture;;Pantai Kukup;Jogja
16;coleston;;Culinary;;Kauman Pakualaman Yogyakarta;Jogja
17;konsta;;Tourist Attraction;;Pantai Krakal;Jogja
18;girhiny;;Tourist Attraction;;Masjid Kapal Semarang;Semarang
19;tradarrius;;Nature;;Durian Gardens and Tourism Education Watu Simbar;Semarang
20;eija;;Culinary;;Candi Prambanan;Jogja
21;blinnie;;Tourist Attraction;;Semarang Contemporary Art Gallery;Semarang
22;liria;;Nature;;De Mata Museum Jogja;Jogja
23;taquoya;;History;;Kampung Wisata Kadipaten;Jogja
24;eldina;;Culture;;Waduk Jatibarang;Semarang
25;yarelin;;History;;Monumen Sanapati;Jogja
26;kiasia;;Culture;;Alun Alun Selatan Yogyakarta;Jogja
27;masuda;;Nature;;Candi Ijo;Jogja
28;stevii;;Tourist Attraction;;Umbul Sidomukti;Semarang
29;keyontai;;Nature;;Masjid Agung Ungaran;Semarang
30;tyka;;Tourist Attraction;;Nol Kilometer Jl.Malioboro;Jogja
31;peacock;;Culinary;;Gembira Loka Zoo;Jogja
32;xyleena;;Culinary;;Semarang Gallery;Semarang
33;miakota;;History;;Bukit Lintang Sewu;Jogja
34;nathern;;Culinary;;Air Terjun Kedung Pedut;Jogja
35;hinal;;Culture;;Pantai Marina;Semarang
36;coletta;;History;;Benteng Pendem;Semarang
37;debanhy;;History;;Wisata Kalibiru;Jogja
38;devontee;;History;;Monumen Serangan Umum 1 Maret;Jogja
39;tiquana;;Tourist Attraction;;Gua Maria Kerep Ambarawa;Semarang
40;marcetta;;Tourist Attraction;;Pantai Kukup;Jogja
41;tiasia;;Nature;;Lawang Sewu;Semarang
42;muneef;;Nature;;Tugu Pal Putih Jogja;Jogja
43;montine;;Tourist Attraction;;Bukit Lintang Sewu;Jogja
44;afaq;;Tourist Attraction;;Benteng Pendem;Semarang
45;pautauros;;Culture;;GPIB Immanuel Semarang (Gereja Blenduk);Semarang
46;srboslav;;Nature;;Benteng Pendem;Semarang
47;beza;;Culture;;Brown Canyon;Semarang
48;natausha;;Tourist Attraction;;Nol Kilometer Jl.Malioboro;Jogja
49;bedar;;Tourist Attraction;;Seribu Batu Songgo Langit;Jogja
50;sueko;;Nature;;Alun-alun Utara Keraton Yogyakarta;Jogja
51;sumbul;;Nature;;Wisata Mangrove Tapak;Semarang
52;priscylla;;Nature;;Kawasan Malioboro;Jogja
53;zaidin;;Culinary;;Selected Places;Semarang
54;tajinder;;History;;Kampung Batik Gedong Semarang;Semarang
55;gillian;;Culture;;Tugu Pal Putih Jogja;Jogja
56;mhora;;History;;Masjid Kapal Semarang;Semarang
57;risquermi;;Culinary;;Pantai Parangtritis;Jogja
58;gjin;;History;;Waduk Jatibarang;Semarang
59;halina;;Tourist Attraction;;Semarang Contemporary Art Gallery;Semarang
60;shalayne;;History;;Water Blaster Bukit Candi Golf;Semarang
61;pestonit;;Culinary;;Monumen Palagan Ambarawa;Semarang
62;tajanique;;History;;Candi Ijo;Jogja
63;allie;;Culinary;;Pantai Patihan;Jogja
64;tymera;;History;;Jurang Tembelan Kanigoro;Jogja
65;dursine;;Tourist Attraction;;Museum Kereta Ambarawa;Semarang
66;tabor;;Tourist Attraction;;Desa Wisata Pulesari;Jogja
67;aliehs;;Nature;;Puncak Segoro;Jogja
68;haldrin;;Culture;;GPIB Immanuel Semarang (Gereja Blenduk);Semarang
69;kelleher;;Culinary;;Desa Wisata Lembah Kalipancur;Semarang
70;anmay;;Culture;;Pantai Parangtritis;Jogja
71;sundra;;Culinary;;Monumen Palagan Ambarawa;Semarang
72;malikka;;Culture;;Semarang Contemporary Art Gallery;Semarang
73;forester;;History;;Wisata Kalibiru;Jogja
74;basilisa;;Culture;;Kota Lama Semarang;Semarang
75;saphyre;;History;;Pantai Depok Jogja;Jogja
76;lara;;History;;Selected Places;Jogja
77;calirose;;Culinary;;Water Blaster Bukit Candi Golf;Semarang
78;tammylynn;;History;;Pantai Baruna;Semarang
79;lindsae;;Nature;;Kampung Batik Gedong Semarang;Semarang
80;amarianna;;History;;Indonesia Kaya Park;Semarang
81;mohima;;Culture;;Pantai Baruna;Semarang
82;myhia;;Tourist Attraction;;Waduk Jatibarang;Semarang
83;merrian;;Culinary;;Candi Gedong Songo;Semarang
84;liponis;;Culture;;Kota Lama Semarang;Semarang
85;kerwinn;;Culture;;Kampung Wisata Taman Sari;Jogja
86;joree;;Culture;;Pantai Jogan;Jogja
87;mandache;;History;;Wisata Mangrove Tapak;Semarang
88;tranyah;;Culinary;;Desa Wisata Pulesari;Jogja
89;bausch;;History;;Museum Kereta Ambarawa;Semarang
90;coulter;;Tourist Attraction;;Old City 3D Trick Art Museum;Semarang
91;kachan;;Tourist Attraction;;Candi Gedong Songo;Semarang
92;sayma;;History;;Waduk Jatibarang;Semarang
93;yoel;;Culture;;Pura Giri Natha;Semarang
94;sumler;;History;;Watu Lumbung;Jogja
95;kimberlyy;;Culture;;Gua Maria Kerep Ambarawa;Semarang
96;ertis;;History;;Kampung Tematik Jawi;Semarang
97;priseis;;Tourist Attraction;;Pantai Patihan;Jogja
98;yavanna;;History;;Pantai Parangtritis;Jogja
99;aranka;;Culinary;;Watu Mabur Mangunan;Jogja
100;chenin;;Culinary;;Pantai Glagah;Jogja
101;claudie;;Nature;;Brown Canyon;Semarang
102;jahmia;;History;;Kampoeng Kopi Banaran;Semarang
103;antipus;;Tourist Attraction;;Hutan Pinus Kayon;Semarang
